id_n,weight,Year,GROSS_INCOME,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other
36713,63.58,2015,386.3641357,389.57,0,20,70,0,0,0,0,0,0,0,266,745.57,356
5405,77.07,2015,10728.41602,371.8086246,302.0237,450,150,0,4.166666667,63,100,0,0,6,5100,6546.998991,6175.190367
54714,85.79,2015,2349.673584,415.17,263.7038,14.16666667,20,2.5,0,24,0,0,0,44.89999962,304,1088.440466,673.2704663
13907,87.65,2015,6144.504395,871.6157104,129.208,179.1666667,640,0,22,0,0,200,155.0000005,0,0,2196.990378,1325.374667
38415,85.56,2015,3333.333252,350.09,0,0,0,100.6,0,0,80,0,0,94,731.8,1356.49,1006.4
46310,30.03,2015,50,409.16,0,0,0,0,3,0,0,0,0,0,0,412.16,3
23714,80.79,2015,1187.642212,331.6858419,0,37.5,0,0,0,0,80,0,0,0,930,1379.185842,1047.5
34611,68.33,2015,2769.010498,760.1,154.28088,58,0,200.9,0,9675.3,240,0,656.6666718,2061,0,13806.24755,13046.14755
56803,67.87,2015,1639.158325,745.2651107,0,58.33333333,75,0,6,300,0,60,47.16666651,0,0,1291.765111,546.4999998
404,78.8,2015,2507.384277,356.53,0,40,0,17.9,0,17.08333397,120,0,0,545.6000061,101.9,1199.01334,842.4833401
45506,72.99,2015,968.5065308,409.16,0,41.66666667,300,0,0,0,0,0,79.16666412,10,280,1119.993331,710.8333308
9014,166.48,2015,1913.366211,386.41,4087.4459,108.3333333,0,0,0,0,260,0,0,116,0,4958.189233,4571.779233
18501,86.28,2015,6000,361.46,0,275,0,0,0,200,80,0,0,360,0,1276.46,915
42706,111.6,2015,2261.067139,1368.994354,96.906,31.25,30,0,6,0,0,0,95.16666412,80.5,0,1708.817018,339.8226641
16505,158.94,2015,800,361.46,0,16.66666667,170,0,0,813.333333,200,180,0,0,0,1741.46,1380
54806,86.31,2015,1565.560059,415.17,0,50,220,0,58.33333333,0,0,0,2.5,0,299,1045.003333,629.8333333
15403,104.01,2015,23847.82031,670.1,0,541.6666667,15092.43614,0,633.3333333,2491.666667,200,1900,370.8333359,0,800,22700.03614,22029.93614
26704,155.07,2015,522.9002075,356,193.812,53.75,0,2,8,128,120,0,0,0,1315.416667,2176.978667,1820.978667
16909,52.42,2015,0,361.46,0,29.16666667,150,54.56666667,0,60,80,16.66666667,0,0,57.9,809.76,448.3
43515,85.21,2015,5318.374023,779.5,152.2656,114.1666667,60,169.7,0,1762.916667,250,0,0,296,225.9,3810.448934,3030.948934
38906,99.1,2015,1663.988647,644.7,0,183.3333333,1260,57,0,0,0,0,187.5833282,96,189,2617.616662,1972.916662
57607,29.09,2015,1322.147339,817.9650877,271.3368,0,0,0,28,192,80,0,0,0,20,1409.301888,591.3368
55601,90.32,2015,6368.196777,415.17,0,21.5,871.7444984,637.1666667,0,224,200,0,34.08333206,342.9000015,112.9,2859.464499,2444.294499
